DATE,PM2.5,PM10,HCHO,TVOC,TEMP,HUMI,UNIT
3/5/2023 19:37,111.6,193.5,0.13,0.56,66,50,F
3/5/2023 19:42,49.3,84.5,0.1,0.47,67,48,F
3/5/2023 19:47,26.3,45.3,0.08,0.37,69,47,F
3/5/2023 19:52,14.6,25.7,0.07,0.32,70,46,F
3/5/2023 19:57,10.5,18.5,0.06,0.28,70,45,F
3/5/2023 20:02,7.1,12.6,0.06,0.26,71,46,F
3/5/2023 20:07,4.2,7.3,0.05,0.23,71,45,F
3/5/2023 20:12,2.4,3.9,0.05,0.22,72,44,F
3/5/2023 20:17,2.2,3.7,0.05,0.19,72,44,F
3/5/2023 20:22,2.2,3.5,0.08,0.36,72,44,F
3/5/2023 20:27,1.5,2.3,0.07,0.34,72,44,F
3/5/2023 20:32,0.8,1.3,0.06,0.28,72,43,F
3/5/2023 20:37,0.6,0.9,0.06,0.26,72,47,F
3/5/2023 20:42,0.6,1.1,0.05,0.2,72,42,F
3/5/2023 20:47,0.4,0.8,0.05,0.19,72,42,F
3/5/2023 20:52,0.3,0.5,0.05,0.18,72,42,F
3/5/2023 20:57,0.7,1.3,0.04,0.17,72,41,F
3/5/2023 21:02,0.4,0.6,0.04,0.16,72,41,F
3/5/2023 21:07,0.7,1.1,0.04,0.16,73,41,F
3/5/2023 21:12,0.5,0.8,0.04,0.15,73,41,F
3/5/2023 21:17,0.5,0.8,0.03,0.14,73,41,F
3/5/2023 21:22,0.6,1,0.03,0.13,72,41,F
3/5/2023 21:27,0.4,0.6,0.03,0.13,72,41,F
3/5/2023 21:32,0.4,0.6,0.03,0.12,72,40,F
3/5/2023 21:37,0.4,0.6,0.03,0.12,72,40,F
3/5/2023 21:42,0.7,1.1,0.03,0.12,72,40,F
3/5/2023 21:47,0.5,0.8,0.03,0.11,72,40,F
3/5/2023 21:52,0.4,0.7,0.03,0.11,72,40,F
3/5/2023 21:57,0.4,0.6,0.02,0.1,72,40,F
3/5/2023 22:02,0.4,0.7,0.02,0.1,72,40,F
3/5/2023 22:07,0.5,0.8,0.02,0.09,72,40,F
3/5/2023 22:12,0.2,0.3,0.02,0.1,72,40,F
3/5/2023 22:17,0.3,0.5,0.02,0.09,72,40,F
3/5/2023 22:22,0.3,0.4,0.02,0.09,72,40,F
3/5/2023 22:27,0.3,0.5,0.02,0.08,72,39,F
3/5/2023 22:32,0.3,0.4,0.02,0.08,72,40,F
3/5/2023 22:37,0.3,0.5,0.02,0.04,72,40,F
3/5/2023 22:42,0.4,0.6,0.02,0.04,72,40,F
3/5/2023 22:47,0.3,0.5,0.02,0.08,72,40,F
3/5/2023 22:52,0.4,0.7,0.02,0.04,72,39,F
3/5/2023 22:57,0.2,0.4,0.02,0.04,72,39,F
3/5/2023 23:02,0.3,0.4,0.02,0.04,72,39,F
3/5/2023 23:07,0.2,0.4,0.02,0.05,72,39,F
3/5/2023 23:12,0.4,0.8,0.02,0.04,72,39,F
3/5/2023 23:17,0.4,0.8,0.02,0.04,72,39,F
3/5/2023 23:22,0.3,0.5,0.01,0.04,72,39,F
3/5/2023 23:27,0.4,0.7,0.01,0.05,71,39,F
3/5/2023 23:32,0.3,0.4,0.01,0.04,71,39,F
3/5/2023 23:37,0.4,0.6,0.01,0.04,71,39,F
3/5/2023 23:42,0.4,0.7,0.01,0.05,71,39,F
